"","NAME","ADDRESS","CITY","COUNTY","FIPS","X","Y"
"2053","TAPPAN PHARMACY","25 OLD TAPPAN ROAD","TAPPAN","ROCKLAND",36087,-73.9491055,41.0221315
"2054","DRUG WORLD","275 NORTH MAIN STREET","SPRING VALLEY","ROCKLAND",36087,-74.0425959,41.1287123
"2055","DRUG WORLD","182 SOUTH MAIN STREET","NEW CITY","ROCKLAND",36087,-73.98876,41.1402184
"2056","PATHMARK","45 ROUTE 59","MONSEY","ROCKLAND",36087,-74.0643864,41.1065754
"2057","V-CARE PHARMACY INCORPORATED","59 EAST ECKERSON ROAD","SPRING VALLEY","ROCKLAND",36087,-74.0400606,41.1279157
"2058","ASTRA PHARMACY","94-15 63RD DRIVE","REGO PARK","QUEENS",36081,-73.8632094,40.7291747
"2059","RX CENTER","2325 1ST AVENUE","NEW YORK","NEW YORK",36061,-73.9341757,40.7981485
"2060","WALGREENS - 10446","135 SOUTH LIBERTY DRIVE","STONY POINT","ROCKLAND",36087,-73.9872291,41.219266
"2061","RITE AID - 10594","61-29 SPRINGFIELD BOULEVARD","OAKLAND GARDENS","QUEENS",36081,-73.755824,40.7482772
"2062","CVS - 2975","7960 METROPOLITAN AVENUE","MIDDLE VILLAGE","QUEENS",36081,-73.8718523,40.7128049
"2063","COLOMBO'S PHARMACY","75-51 METROPOLITAN AVENUE","MIDDLE VILLAGE","QUEENS",36081,-73.8757212,40.713312
"2064","BAXTERS PHARMACY","23 SAMSONDALE PLAZA","WEST HAVERSTRAW","ROCKLAND",36087,-73.986161,41.2059665
"2065","LONG ISLAND CITY CHEMISTS PHARMACY","30-12 36TH AVENUE","LONG ISLAND CITY","QUEENS",36081,-73.9302693,40.756586
"2066","AAA PHARMACY","3513 WHITE PLAINS ROAD","BRONX","BRONX",36005,-73.8668687,40.8779268
"2067","DUANE READE","95-11 63RD DRIVE","REGO PARK","QUEENS",36081,-73.8629425,40.7298096
"2068","LORVEN PHARMACY","1006 MANHATTAN AVENUE","BROOKLYN","KINGS",36047,-73.9545499,40.7333827
"2069","RITE AID - 10563","31-14 30TH AVENUE","LONG ISLAND CITY","QUEENS",36081,-73.9210693,40.7664742
"2070","CVS - 144","219-39 89TH AVENUE","QUEENS VILLAGE","QUEENS",36081,-73.7437868,40.7293768
"2071","CVS - 2985","97-10 63RD ROAD","REGO PARK","QUEENS",36081,-73.8604735,40.7308322
"2072","GN PHARMACY","800 NORTHERN BOULEVARD","GREAT NECK","NASSAU",36059,-73.7104513,40.7844759
"2073","WALGREENS - 9869","8011 ELIOT AVENUE","MIDDLE VILLAGE","QUEENS",36081,-73.87877,40.7254834
"2074","CVS - 2168","400 WEST 58TH STREET","NEW YORK","NEW YORK",36061,-73.9854434,40.7688471
"2075","VITAHEALTH","1235 1ST AVENUE","NEW YORK","NEW YORK",36061,-73.9586882,40.7644602
"2076","FOUR WINDS PHARMACY","800 CROSS RIVER ROAD","KATONAH","WESTCHESTER",36119,-73.6220072,41.2654061
"2077","LIFELINE INFUSION SERVICES","559 MIDDLE ROAD","BAYPORT","SUFFOLK",36103,-73.0520981,40.7380682
"2078","RITE AID - 4805","2463 UNITED STATES ROUTE 9W","RAVENA","ALBANY",36001,-73.8170926,42.4682054
"2079","STONY BROOK PHARMACY","2500 NESCONSET HIGHWAY","STONY BROOK","SUFFOLK",36103,-73.1149734,40.878785
"2080","RITE AID - 10677","15 COLEMAN STREET","CHATHAM","COLUMBIA",36021,-73.5992145,42.3566447
"2081","STONY BROOK UNIVERSITY MEDICAL CENTER","100 NICOLLS ROAD","STONY BROOK","SUFFOLK",36103,-73.1162958,40.9094739
"2082","CVS - 424","160 FAIRVIEW AVENUE","HUDSON","COLUMBIA",36021,-73.7660605,42.2566084
"2083","THRIFT DRUGS","128 CLARKE STREET","BRENTWOOD","SUFFOLK",36103,-73.2501104,40.7986983
"2084","CVS - 783","2982 UNITED STATES HIGHWAY 9","VALATIE","COLUMBIA",36021,-73.6877935,42.4289019
"2085","CVS - 5359","7518 NORTH BROADWAY","RED HOOK","DUTCHESS",36027,-73.8740686,41.9955432
"2086","PROCARE","111 EXECUTIVE BOULEVARD","FARMINGDALE","SUFFOLK",36103,-73.4284541,40.7216742
"2087","HANNAFORD","152 STRINGHAM ROAD","LA GRANGEVILLE","DUTCHESS",36027,-73.7953687,41.6679189
"2088","LAGRANGE PHARMACY","702 FREEDOM PLAINS ROAD","POUGHKEEPSIE","DUTCHESS",36027,-73.8404785,41.669314
"2089","RITE AID - 10614","1910 HEMPSTEAD TURNPIKE","EAST MEADOW","NASSAU",36059,-73.5650863,40.7224201
"2090","RITE AID - 10630","3974 HEMPSTEAD TURNPIKE","BETHPAGE","NASSAU",36059,-73.4897517,40.7242973
"2091","CVS - 5063","38 PANTIGO ROAD","EAST HAMPTON","SUFFOLK",36103,-72.1824893,40.9654408
"2092","ALDAV PHARMACY INCORPORATED","749 OCEAN PARKWAY","BROOKLYN","KINGS",36047,-73.9710692,40.6303637
"2093","WALDBAUMS","1510 OLD COUNTRY ROAD","RIVERHEAD","SUFFOLK",36103,-72.6953476,40.9286323
"2094","SALTZMAN PHARMACY INCORPORATED","96 THIRD AVENUE","BROOKLYN","KINGS",36047,-73.9821105,40.6835913
"2095","SOUTH SIDE DRUGS INCORPORATED","432 BEDFORD AVENUE","BROOKLYN","KINGS",36047,-73.9642734,40.7091361
"2096","WALGREENS - 12541","1847 ROCKAWAY PARKWAY","BROOKLYN","KINGS",36047,-73.892131,40.6369713
"2097","BARTHS PHARMACY","94 MONTAUK HIGHWAY","EAST MORICHES","SUFFOLK",36103,-72.7485977,40.8215599
"2098","TEPS PHARMACY","1563 RALPH AVENUE","BROOKLYN","KINGS",36047,-73.9188903,40.6388412
"2099","CVS - 1271","626 ROUTE 25A","ROCKY POINT","SUFFOLK",36103,-72.9238142,40.9470828
"2100","J AND L PHARMACY CORPORATION","8513 BAY 16TH STREET","BROOKLYN","KINGS",36047,-74.0036718,40.608356
"2101","SEA BREEZE PHARMACY AND MEDICAL SUPPLY","1129 BRIGHTON BEACH AVENUE","BROOKLYN","KINGS",36047,-73.955782,40.577926
"2102","GOOD DAY PHARMACY","1642 BATH AVENUE","BROOKLYN","KINGS",36047,-74.0095297,40.6056952
"2103","LINDEN PHARMACY","1368 LINDEN BOULEVARD","BROOKLYN","KINGS",36047,-73.9092148,40.6541272
"2104","CVS - 644","8430 NEW UTRECHT AVENUE","BROOKLYN","KINGS",36047,-74.002026,40.6081642
"2105","STOP AND SHOP - 2505","999 MONTAUK HIGHWAY","SHIRLEY","SUFFOLK",36103,-72.8604931,40.8059114
"2106","QUICKAID PHARMACY INCORPORATED","3814 13TH AVENUE","BROOKLYN","KINGS",36047,-73.9861966,40.6409861
"2107","ESTABLISHED PHARMACY","1743 NOSTRAND AVENUE","BROOKLYN","KINGS",36047,-73.9486234,40.6434752
"2108","PRECISION PHARMACY","2711 MERRICK ROAD","BELLMORE","NASSAU",36059,-73.5257147,40.6639634
"2109","TRADITIONAL PHARMACY","1206 AVENUE M","BROOKLYN","KINGS",36047,-73.9624977,40.6175585
"2110","RITE QUALITY PHARMACY","614 FLATBUSH AVENUE","BROOKLYN","KINGS",36047,-73.9607144,40.6584852
"2111","WALGREENS - 12369","1721 AVENUE U","BROOKLYN","KINGS",36047,-73.9539133,40.5993507
"2112","WALGREENS - 4845","89 HENRY STREET","FREEPORT","NASSAU",36059,-73.5787455,40.6552639
"2113","AM PHARMACY","5702 8TH AVENUE","BROOKLYN","KINGS",36047,-74.008052,40.6372228
"2114","BALLARD PHARMACY","226 PROSPECT PARK WEST","BROOKLYN","KINGS",36047,-73.9810326,40.6599837
"2115","SUPER STOP AND SHOP - 0556","132 FULTON AVENUE","HEMPSTEAD","NASSAU",36059,-73.6312846,40.7047486
"2116","ATLANTIC PHARMACY","1706B ATLANTIC AVENUE","BROOKLYN","KINGS",36047,-73.9340875,40.6771905
"2117","HEALTH-WISE PHARMACY","1233 NOSTRAND AVENUE","BROOKLYN","KINGS",36047,-73.9499634,40.6570024
"2118","DUANE READE","901 CARMANS ROAD","MASSAPEQUA","NASSAU",36059,-73.4323156,40.7002713
"2119","GREENFIELD PHARMACY","1526 CORTELYOU ROAD","BROOKLYN","KINGS",36047,-73.9636295,40.6412761
"2120","BEHRENS PHARMACY","231 DEKALB AVENUE","BROOKLYN","KINGS",36047,-73.9699779,40.6896505
"2121","WAL-MART - 5068","200 SUNRISE MALL","MASSAPEQUA","NASSAU",36059,-73.4336922,40.6832877
"2122","FAMILY PHARMACY","1425 KINGS HIGHWAY","BROOKLYN","KINGS",36047,-73.9584561,40.6088342
"2123","SAINT JUDES PHARMACY AND SURGICAL SUPPLY CORPORATION","121 SAINT NICHOLAS AVENUE","BROOKLYN","KINGS",36047,-73.9178023,40.7055131
"2124","CVS - 4451","3496 LONG BEACH ROAD","OCEANSIDE","NASSAU",36059,-73.6404122,40.6260165
"2125","NEUGARD PHARMACY","7323 3RD AVENUE","BROOKLYN","KINGS",36047,-74.0272131,40.6322042
"2126","CVS - 949","2291 MERRICK ROAD","MERRICK","NASSAU",36059,-73.5408958,40.6608333
"2127","DESHI PHARMACY","161 BUFFALO AVENUE","BROOKLYN","KINGS",36047,-73.9249609,40.6736232
"2128","RITE AID - 3235","2260 JERUSALEM AVENUE","NORTH BELLMORE","NASSAU",36059,-73.5473957,40.6904745
"2129","NOOR PHARMACY INCORPORATED","2036 BEDFORD AVENUE","BROOKLYN","KINGS",36047,-73.9566434,40.6547061
"2130","RITE AID - 10648","5125 MERRICK ROAD","MASSAPEQUA PARK","NASSAU",36059,-73.4467007,40.6669967
"2131","NOTTINGHAM PHARMACY","1930 AVENUE M","BROOKLYN","KINGS",36047,-73.9552213,40.6183418
"2132","WALDBAUM'S","5508 SUNRISE HIGHWAY","MASSAPEQUA","NASSAU",36059,-73.436987,40.6751925
"2133","PATHMARK","625 ATLANTIC AVENUE","BROOKLYN","KINGS",36047,-73.9749564,40.6837051
"2134","RITE AID - 10586","2981 OCEAN AVENUE","BROOKLYN","KINGS",36047,-73.948955,40.5883105
"2135","SAMICA PHARMACY","6407 BAY PARKWAY","BROOKLYN","KINGS",36047,-73.980765,40.6141597
"2136","SUNRISE PHARMACY","6725 BAY PARKWAY","BROOKLYN","KINGS",36047,-73.9829515,40.6119773
"2137","LEMBERG'S PHARMACY","191 NEPTUNE AVENUE","BROOKLYN","KINGS",36047,-73.9605589,40.5820335
"2138","A C PHARMACY CORPORATION","762 59TH STREET","BROOKLYN","KINGS",36047,-74.0096827,40.6362534
"2139","RX WAREHOUSE PHARMACY","7724 NEW UTRECHT AVENUE","BROOKLYN","KINGS",36047,-74.0007888,40.6137841
"2140","LEVY'S PHARMACY","4021 13TH AVENUE","BROOKLYN","KINGS",36047,-73.9871089,40.6395254
"2141","WALGREENS - 1918","755 BROADWAY","BROOKLYN","KINGS",36047,-73.9414563,40.7006666
"2142","TARGET","139 FLATBUSH AVENUE","BROOKLYN","KINGS",36047,-73.977122,40.6843249
"2143","MEDICAL ARTS CHEMISTS","5504 13TH AVENUE","BROOKLYN","KINGS",36047,-73.9959584,40.6315874
"2144","ADDICTION RESEARCH AND TREATMENT CORPORATION FORT GREENE PHARMACY","937 FULTON STREET","BROOKLYN","KINGS",36047,-73.9656607,40.683489
"2145","THRIFTWAY PHARMACY","1621 CHURCH AVENUE","BROOKLYN","KINGS",36047,-73.9643214,40.6491439
"2146","MEDIC MASTERS PHARMACY AND SURGICAL","180-09 JAMAICA AVENUE","JAMAICA","QUEENS",36081,-73.7802631,40.7087567
"2147","HEALTHLINK PHARMACY INCORPORATED","5423 7TH AVENUE","BROOKLYN","KINGS",36047,-74.0084912,40.6395962
"2148","FINE CARE PHARMACY","1611 BROADWAY","BROOKLYN","KINGS",36047,-73.9146117,40.6855441
"2149","RITE AID - 10608","96-02 ROCKAWAY BOULEVARD","OZONE PARK","QUEENS",36081,-73.8422028,40.6800768
"2150","IRVING PHARMACY","115 IRVING AVENUE","BROOKLYN","KINGS",36047,-73.9220718,40.7036342
"2151","WOODHULL DRUGS","304 ELLERY STREET","BROOKLYN","KINGS",36047,-73.9401239,40.6992587
"2152","CVS - 2719","97-01 LIBERTY AVENUE","OZONE PARK","QUEENS",36081,-73.8418345,40.6813933
"2153","OCANA PHARMACY EXPRESS","6716 18TH AVENUE","BROOKLYN","KINGS",36047,-73.9920912,40.6176221
"2154","BATISH DRUGS","378 LAFAYETTE AVENUE","BROOKLYN","KINGS",36047,-73.9602485,40.6887192
"2155","WALGREENS - 2055","10962 FRANCIS LEWIS BOULEVARD","QUEENS VILLAGE","QUEENS",36081,-73.7511829,40.7064446
"2156","DUANE READE","44 COURT STREET","BROOKLYN","KINGS",36047,-73.9911233,40.6926631
"2157","BAY RIDGE SPECIALTY PHARMACY","7618 5TH AVENUE","BROOKLYN","KINGS",36047,-74.0233308,40.6283694
"2158","KEW GARDENS PHARMACY","81-57 LEFFERTS BOULEVARD","KEW GARDENS","QUEENS",36081,-73.8306748,40.7080165
"2159","CVS - 2769","4901 KINGS HIGHWAY","BROOKLYN","KINGS",36047,-73.9289169,40.6343473
"2160","SMARTHEALTH PHARMACY","547 86TH STREET","BROOKLYN","KINGS",36047,-74.0248442,40.6209263
"2161","CROSS BAY CHEMIST","158-14 CROSS BAY BOULEVARD","HOWARD BEACH","QUEENS",36081,-73.8405609,40.660336
"2162","JIM AND PHIL'S FAMILY PHARMACY","6109 5TH AVENUE","BROOKLYN","KINGS",36047,-74.0168464,40.6385937
"2163","INWOOD PHARMACY AND SURGICAL SUPPLY","115 DOUGHTY BOULEVARD","INWOOD","NASSAU",36059,-73.7466936,40.6148523
"2164","FINE CARE PHARMACY","981 FULTON STREET","BROOKLYN","KINGS",36047,-73.9638918,40.683018
"2165","PATHMARK","92-10 ATLANTIC AVENUE","OZONE PARK","QUEENS",36081,-73.8497755,40.6870734
"2166","TODT HILL PHARMACY","2110G RICHMOND ROAD","STATEN ISLAND","RICHMOND",36085,-74.1114505,40.5813555
"2167","QUICK DRUGS","52 VICTORY BOULEVARD","STATEN ISLAND","RICHMOND",36085,-74.0784591,40.6381252
"2168","PARSONS MEDICAL CENTER PHARMACY","88-01 PARSONS BOULEVARD","JAMAICA","QUEENS",36081,-73.8019195,40.7066574
"2169","LINCOLN PLACE PHARMACY INCORPORATED","1135 EASTERN PARKWAY","BROOKLYN","KINGS",36047,-73.9305899,40.669194
"2170","RITE AID - 3958","2002 AVENUE U","BROOKLYN","KINGS",36047,-73.9509983,40.5991888
"2171","PATHMARK","2875 RICHMOND AVENUE","STATEN ISLAND","RICHMOND",36085,-74.1674601,40.5740573
"2172","KINGS BAY CHEMISTS INCORPORATED","3610 NOSTRAND AVENUE","BROOKLYN","KINGS",36047,-73.9413047,40.5960397
"2173","SUNSHINE PHARMACY INCORPORATED","411 KINGSTON AVENUE","BROOKLYN","KINGS",36047,-73.9424156,40.664794
"2174","JEVAN PHARMACY","102-10 101ST AVENUE","OZONE PARK","QUEENS",36081,-73.8402672,40.6857002
"2175","RITE AID - 10535","385 BAY STREET","STATEN ISLAND","RICHMOND",36085,-74.0749797,40.6325053
"2176","RITE AID - 7930","10640 ROCKAWAY BEACH BOULEVARD","ROCKAWAY PARK","QUEENS",36081,-73.8289013,40.5825167
"2177","DUANE READE","2145 HYLAN BOULEVARD","STATEN ISLAND","RICHMOND",36085,-74.1027733,40.5784915
"2178","PATHMARK","227 CHERRY STREET","NEW YORK","NEW YORK",36061,-73.9911096,40.7103808
"2179","CVS - 2439","778A MANOR ROAD","STATEN ISLAND","RICHMOND",36085,-74.1216794,40.6080712
"2180","NEAB PHARMACY","189-01 LINDEN BOULEVARD","SAINT ALBANS","QUEENS",36081,-73.7619722,40.6920462
"2181","RITE AID - 10605","583 GRANDVIEW AVENUE","RIDGEWOOD","QUEENS",36081,-73.9058438,40.7089126
"2182","GLOBE DRUG STORE","405 86TH STREET","BROOKLYN","KINGS",36047,-74.0279866,40.6228282
"2183","CVS - 6045","1571 FOREST AVENUE","STATEN ISLAND","RICHMOND",36085,-74.1402895,40.6251343
"2184","RITE AID - 4864","168 MONTAGUE STREET","BROOKLYN","KINGS",36047,-73.9923883,40.6939004
"2185","DELCO DRUGS AND SPECIALTY PHARMACY","3833 RICHMOND AVENUE","STATEN ISLAND","RICHMOND",36085,-74.1653153,40.5448115
"2186","DUANE READE","54-11 MYRTLE AVENUE","RIDGEWOOD","QUEENS",36081,-73.9103413,40.6998544
"2187","MIL-RUE CHEMISTS, INCORPORATED","66-87 FRESH POND ROAD","RIDGEWOOD","QUEENS",36081,-73.8966084,40.7064071
"2188","RITE AID - 3816","7821 3RD AVENUE","BROOKLYN","KINGS",36047,-74.0285667,40.6286839
"2189","KING KULLEN","4343 AMBOY ROAD","STATEN ISLAND","RICHMOND",36085,-74.1608525,40.5461035
"2190","RITE AID - 4856","122-02 LIBERTY AVENUE","SOUTH RICHMOND HILL","QUEENS",36081,-73.821282,40.6871328
"2191","EZRA PHARMACY","604 CENTRAL AVENUE","CEDARHURST","NASSAU",36059,-73.7212989,40.6237392
"2192","DUANE READE","1445 HEMPSTEAD TURNPIKE","ELMONT","NASSAU",36059,-73.694083,40.7066243
"2193","METROPOLITAN PHARMACY","116-07 METROPOLITAN AVENUE","RICHMOND HILL","QUEENS",36081,-73.8356967,40.7076911
"2194","KRAUPNER PHARMACY","66-86 FRESH POND ROAD","RIDGEWOOD","QUEENS",36081,-73.8969925,40.7060939
"2195","WALGREENS - 2778","2095 DUTCH BROADWAY","ELMONT","NASSAU",36059,-73.7172819,40.6935368
"2196","COOPERMAN PHARMACY","143-73 243RD STREET","ROSEDALE","QUEENS",36081,-73.7390596,40.6603371
"2197","GELOS POINT PHARMACY","62 LIDO BOULEVARD","POINT LOOKOUT","NASSAU",36059,-73.5812774,40.5923168
"2198","RITE AID - 10613","498 HEMPSTEAD TURNPIKE","WEST HEMPSTEAD","NASSAU",36059,-73.6575789,40.706836
"2199","PATHMARK","4055 MERRICK ROAD","SEAFORD","NASSAU",36059,-73.4830647,40.6671929
"2200","WALDBAUMS","3620 LONG BEACH ROAD","OCEANSIDE","NASSAU",36059,-73.6425054,40.6222329
"2201","SEAFORD CHEMISTS","1696 WASHINGTON AVENUE","SEAFORD","NASSAU",36059,-73.485258,40.681882
"2202","CVS - 2780","814 WEST HEMPSTEAD AVENUE","WEST HEMPSTEAD","NASSAU",36059,-73.6588272,40.6881179
"2203","CVS - 4121","20-30 MERRICK ROAD","AMITYVILLE","SUFFOLK",36103,-73.4224971,40.6721134
"2204","DAVIS ETHICAL PHARMACY","124 NORTH LONG BEACH ROAD","ROCKVILLE CENTRE","NASSAU",36059,-73.6313123,40.658279
"2205","RITE AID - 4227","161 MAIN STREET","WESTHAMPTON BEACH","SUFFOLK",36103,-72.6410221,40.8098456
"2206","EVON PHARMACY","160 ATLANTIC AVENUE","BROOKLYN","KINGS",36047,-73.9942678,40.6899616
"2207","CANNON PHARMACY","23 SOUTH MAIN STREET","FREEPORT","NASSAU",36059,-73.5824047,40.6567753
"2208","SQUARE DEAL PHARMACY","437 MOTHER GASTON BOULEVARD","BROOKLYN","KINGS",36047,-73.9062195,40.6684171
"2209","CHOICE PHARMACY","510 FULTON AVENUE","HEMPSTEAD","NASSAU",36059,-73.6140288,40.7099174
"2210","JUNCTION PHARMACY","2109 NOSTRAND AVENUE","BROOKLYN","KINGS",36047,-73.9474897,40.6338812
"2211","CONRAD'S PHARMACY","333 LONG BEACH ROAD","ISLAND PARK","NASSAU",36059,-73.6552531,40.605341
"2212","NEERGAARD PHARMACIES","120 7TH AVENUE","BROOKLYN","KINGS",36047,-73.9762753,40.673682
"2213","MEDICAL CENTER PHARMACY","54 MAIN STREET","HEMPSTEAD","NASSAU",36059,-73.6241968,40.7081998
"2214","WALDINGER'S PHARMACY","8318 5TH AVENUE","BROOKLYN","KINGS",36047,-74.025404,40.6232388
"2215","SHOPRITE","64 ROUTE 109","WEST BABYLON","SUFFOLK",36103,-73.3469053,40.7045617
"2216","PREMIUM PHARMACY","829 57TH STREET","BROOKLYN","KINGS",36047,-74.0068173,40.6368469
"2217","SUNRISE RX INCORPORATED","285 SILLS ROAD","EAST PATCHOGUE","SUFFOLK",36103,-72.9734457,40.7808329
"2218","BRIDGE PHARMACY","8912 3RD AVENUE","BROOKLYN","KINGS",36047,-74.032271,40.621109
"2219","HAMPTON LIGGETT DRUGS","39 WEST MONTAUK HIGHWAY","HAMPTON BAYS","SUFFOLK",36103,-72.524523,40.8770678
"2220","HEALTHCARE DRUGS","2402 MERMAID AVENUE","BROOKLYN","KINGS",36047,-73.991294,40.5757324
"2221","VILLAGE PHARMACY AND SURGICAL","124 EAST MAIN STREET","BABYLON","SUFFOLK",36103,-73.3209004,40.6966402
"2222","CENTER ISLAND HEALTH MART PHARMACY","254 WEST MONTAUK HIGHWAY","HAMPTON BAYS","SUFFOLK",36103,-72.548932,40.8678274
"2223","CVS - 2699","411 DITMAS AVENUE","BROOKLYN","KINGS",36047,-73.9744797,40.6361895
"2224","SDF PHARMACY INCORPORATED","302 BROADWAY","BROOKLYN","KINGS",36047,-73.9576646,40.7081392
"2225","5TH AVENUE PHARMACY","4818 5TH AVENUE","BROOKLYN","KINGS",36047,-74.0096736,40.6459582
"2226","STOP AND SHOP - 2553","400 UNION BOULEVARD","WEST ISLIP","SUFFOLK",36103,-73.3015027,40.7066634
"2227","MARTIN DRUGS OF RIVERHEAD","849 OLD COUNTRY ROAD","RIVERHEAD","SUFFOLK",36103,-72.6690278,40.9335422
"2228","RITE AID - 564","462 FIFTH AVENUE","BROOKLYN","KINGS",36047,-73.9872457,40.6685361
"2229","J DRUGS","1205 AVENUE J","BROOKLYN","KINGS",36047,-73.9643442,40.6250495
"2230","SUPER STOP AND SHOP - 0562","2350 NORTH OCEAN AVENUE","FARMINGVILLE","SUFFOLK",36103,-73.0239504,40.8294323
"2231","SMART CHOICE PHARMACY","259 AVENUE X","BROOKLYN","KINGS",36047,-73.9733642,40.5904034
"2232","BROWNSVILLE COMMUNITY PHARMACY","592 ROCKAWAY AVENUE","BROOKLYN","KINGS",36047,-73.9099229,40.6653459
"2233","KMART","605 OLD COUNTRY ROAD","RIVERHEAD","SUFFOLK",36103,-72.6609903,40.9325189
"2234","FLATBUSH EXPRESS PHARMACY","860 FLATBUSH AVENUE","BROOKLYN","KINGS",36047,-73.9591761,40.6512541
"2235","PATHMARK","1525 ALBANY AVENUE","BROOKLYN","KINGS",36047,-73.9368679,40.6353848
"2236","LONG ISLAND SCRIPT","134 GREAT EAST NECK ROAD","WEST BABYLON","SUFFOLK",36103,-73.3463727,40.6910062
"2237","SUN CARE PHARMACY","533 EAST 7TH STREET","BROOKLYN","KINGS",36047,-73.9716802,40.6388561
"2238","CVS - 2812","1070 FLATBUSH AVENUE","BROOKLYN","KINGS",36047,-73.9582482,40.6443783
"2239","KMART","2280 NORTH OCEAN AVENUE","FARMINGVILLE","SUFFOLK",36103,-73.0235258,40.8272924
"2240","7 STAR PHARMACY","596 CLARKSON AVENUE","BROOKLYN","KINGS",36047,-73.9397506,40.6558781
"2241","WALGREENS - 2650","5716 AVENUE U","BROOKLYN","KINGS",36047,-73.9166888,40.6130148
"2242","THREE P DRUGS","799 FLUSHING AVENUE","BROOKLYN","KINGS",36047,-73.9407389,40.701174
"2243","KING KULLEN","460 COUNTY ROAD 111","MANORVILLE","SUFFOLK",36103,-72.7946231,40.8673497
"2244","REO CHEMISTS","81-01 LEFFERTS BOULEVARD","KEW GARDENS","QUEENS",36081,-73.8296773,40.7091432
"2245","ABC WHOLESALE","1946 86TH STREET","BROOKLYN","KINGS",36047,-73.9994447,40.6050562
"2246","BELL DRUGS INCORPORATED","138 GRAHAM AVENUE","BROOKLYN","KINGS",36047,-73.9428167,40.7062407
"2247","CVS - 275","1565 ROUTE 112","MEDFORD","SUFFOLK",36103,-73.0063523,40.7948074
"2248","NEW VICTORY PHARMACY","9202 4TH AVENUE","BROOKLYN","KINGS",36047,-74.0305138,40.6183599
"2249","TARGET","519 GATEWAY DRIVE","BROOKLYN","KINGS",36047,-73.8701958,40.6529061
"2250","CVS - 5191","964 MONTAUK HIGHWAY","SHIRLEY","SUFFOLK",36103,-72.8613162,40.8019414
"2251","CVS - 922","460 MONTAUK HIGHWAY","WEST ISLIP","SUFFOLK",36103,-73.3109676,40.6967713
"2252","KINGS PHARMACY","492 CLARKSON AVENUE","BROOKLYN","KINGS",36047,-73.9431294,40.6556901
"2253","DUANE READE","2265 RALPH AVENUE","BROOKLYN","KINGS",36047,-73.9169659,40.6226503
"2254","BROADWAY HEALTH MART PHARMACY","1236 BROADWAY","BROOKLYN","KINGS",36047,-73.9260889,40.6915646
"2255","PATHMARK","399 ROUTE 112","PATCHOGUE","SUFFOLK",36103,-73.0064323,40.7822292
"2256","MAIMAN'S PHARMACY","821 FRANKLIN AVENUE","BROOKLYN","KINGS",36047,-73.9578956,40.6701929
"2257","GRISTEDES - 544","101 CLARK STREET","BROOKLYN","KINGS",36047,-73.9925685,40.6978054
"2258","NEERGAARD PHARMACIES","454 5TH AVENUE","BROOKLYN","KINGS",36047,-73.9868471,40.6689342
"2259","RITE AID - 10673","803 MONTAUK HIGHWAY","SHIRLEY","SUFFOLK",36103,-72.8692242,40.8021759
"2260","CVS - 2441","2151 86TH STREET","BROOKLYN","KINGS",36047,-73.9945587,40.6026953
"2261","EVE PHARMACY INCORPORATED","2836 CONEY ISLAND AVENUE","BROOKLYN","KINGS",36047,-73.9606785,40.5874117
"2262","PATHMARK","531 WEST MONTAUK HIGHWAY","WEST BABYLON","SUFFOLK",36103,-73.3418407,40.6890266
"2263","WALGREENS - 7321","1227 FOREST AVENUE","STATEN ISLAND","RICHMOND",36085,-74.130924,40.6265795
"2264","KATZ DRUGS","76 GRAHAM AVENUE","BROOKLYN","KINGS",36047,-73.9423841,40.7036043
"2265","DUANE READE","5008 5TH AVENUE","BROOKLYN","KINGS",36047,-74.0107127,40.6449847
"2266","THRIFTWAY PHARMACY","1717 FOSTER AVENUE","BROOKLYN","KINGS",36047,-73.9607105,40.6354231
"2267","THRIFTWAY PHARMACY","759 WASHINGTON AVENUE","BROOKLYN","KINGS",36047,-73.9628156,40.6741137
"2268","ESTIS PHARMACY AND SURGICALS","300 TROY AVENUE","BROOKLYN","KINGS",36047,-73.936818,40.6687093
"2269","ISLAND PHARMACY AND SURGICAL INCORPORATED","5121 CHURCH AVENUE","BROOKLYN","KINGS",36047,-73.9287048,40.652305
"2270","DUANE READE","1010 ROSSVILLE AVENUE","STATEN ISLAND","RICHMOND",36085,-74.2127303,40.5516492
"2271","WALDBAUMS","211 MIDDLE COUNTRY ROAD","SELDEN","SUFFOLK",36103,-73.0264227,40.8693353
"2272","RITE AID - 10571","120 COURT STREET","BROOKLYN","KINGS",36047,-73.9925248,40.6899573
"2273","DUANE READE","630 FOREST AVENUE","STATEN ISLAND","RICHMOND",36085,-74.1101782,40.6296403
"2274","PARK PLACE CHEMISTS","200 PANTIGO PLACE","EAST HAMPTON","SUFFOLK",36103,-72.1694771,40.969104
"2275","DIVISION PHARMACY INCORPORATED","134 DIVISION AVENUE","BROOKLYN","KINGS",36047,-73.962613,40.7074892
"2276","ALEX'S PHARMACY INCORPORATED","627 GRAVESEND NECK ROAD","BROOKLYN","KINGS",36047,-73.9637071,40.5945246
"2277","NATES PHARMACY","333 SAND LANE","STATEN ISLAND","RICHMOND",36085,-74.0675406,40.5917883
"2278","HAMDARD PHARMACY AND FOOD MART","949 CONEY ISLAND AVENUE","BROOKLYN","KINGS",36047,-73.9670974,40.6345051
"2279","IW PHARMACY INCORPORATED","804 54TH STREET","BROOKLYN","KINGS",36047,-74.0058646,40.6386233
